Timestamp,MAXnetOUT,MAXnetIN,AVGnetOut,AVGnetIN
2021-03-21T15:04:00.000Z,12798686,5009211,6970977.166666667,1407561.8333333333
2021-03-21T15:05:00.000Z,6821160,650609,5005813.666666667,265982.1666666667
2021-03-21T15:06:00.000Z,13376727,9265636,7090828,3355760
2021-03-21T15:07:00.000Z,36832511,46667554,11847236,8909311
2021-03-21T15:08:00.000Z,40575677,49294242,12412849,9178830.333333334
2021-03-21T15:09:00.000Z,9805292,3205793,8312320.5,2149797.6666666665
2021-03-21T15:10:00.000Z,9547869,6919453,8040642.333333333,3205290
2021-03-21T15:11:00.000Z,6632821,1866524,4329811.666666667,432208
2021-03-21T15:12:00.000Z,4434533,444337,3913127.6666666665,327129.5
2021-03-21T15:13:00.000Z,5849838,1445511,4299400.833333333,619503
2021-03-21T15:14:00.000Z,36350981,45145151,12629822.666666666,8796207.666666666
2021-03-21T15:15:00.000Z,9724723,4148664,6820542.166666667,1115256
2021-03-21T15:16:00.000Z,10125212,2136737,6207728.833333333,784273
2021-03-21T15:17:00.000Z,13086397,7358966,7094585.666666667,1771070.5
2021-03-21T15:18:00.000Z,8591193,2224107,6241359,527443.5
2021-03-21T15:19:00.000Z,5421320,915690,4182051.3333333335,353429.8333333333
2021-03-21T15:20:00.000Z,8077580,2332922,5510894.666666667,734170.3333333334
2021-03-21T15:21:00.000Z,8092758,2381121,5343658.5,523699.1666666667
2021-03-21T15:22:00.000Z,5042756,699789,3618416,200093
2021-03-21T15:23:00.000Z,5083092,1619298,3937150.1666666665,495121.1666666667
2021-03-21T15:24:00.000Z,5356270,886724,4118794.8333333335,333261
2021-03-21T15:25:00.000Z,19283352,14551616,12032202.666666666,6796100.333333333
2021-03-21T15:26:00.000Z,7288642,2984090,5436409.833333333,1215273.3333333333
2021-03-21T15:27:00.000Z,16966710,9103240,7657716,1818116.3333333333
2021-03-21T15:28:00.000Z,8404363,1990437,5932620.166666667,787199.5
2021-03-21T15:29:00.000Z,7866539,2170615,6468508.333333333,1336553.1666666667
2021-03-21T15:30:00.000Z,9701817,3613228,6924979.166666667,1508204.8333333333
2021-03-21T15:31:00.000Z,35330463,46020544,10687251.333333334,8786866.333333334
2021-03-21T15:32:00.000Z,10853443,3576149,6403634.5,1050613.5
2021-03-21T15:33:00.000Z,9011980,2940420,5566462,603097
2021-03-21T15:34:00.000Z,23832701,10761048,16778551.5,7184338.333333333
2021-03-21T15:35:00.000Z,18814705,8595025,16817395.333333332,7137333.833333333
2021-03-21T15:36:00.000Z,13394751,4953259,8832675.333333334,1851899.1666666667
2021-03-21T15:37:00.000Z,12287084,3798852,7216141.833333333,1359710
2021-03-21T15:38:00.000Z,10585638,2818228,5706695.333333333,780505
2021-03-21T15:39:00.000Z,11445598,4624496,7281838.166666667,1728716.6666666667
2021-03-21T15:40:00.000Z,6413160,426043,4899323.666666667,220532.83333333334
2021-03-21T15:41:00.000Z,11531066,5927645,7807734.166666667,2264784.1666666665
2021-03-21T15:42:00.000Z,9639414,3741679,6770130,1377654.8333333333
2021-03-21T15:43:00.000Z,7337841,2380178,4345307.666666667,530736
2021-03-21T15:44:00.000Z,11039839,5675330,5910676.5,1341794.3333333333
2021-03-21T15:45:00.000Z,38802632,47969738,12118226.333333334,9580459.166666666
2021-03-21T15:46:00.000Z,35549689,45728763,11142795.666666666,9239034.5
2021-03-21T15:47:00.000Z,20095941,19207709,8868196,4760570.333333333
2021-03-21T15:48:00.000Z,9257498,4930090,6834202.5,2220365.1666666665
2021-03-21T15:49:00.000Z,12118449,6275497,7842186.333333333,2120302.3333333335
2021-03-21T15:50:00.000Z,10417861,4095911,7230919.833333333,2078903
2021-03-21T15:51:00.000Z,18175546,8699848,9740879.666666666,3253776.8333333335
2021-03-21T15:52:00.000Z,10625669,5740360,6235400.166666667,1417160
