Timestamp,Host__Network__In__Bytes
"2021-04-12T19:36:04.859Z",161040
"2021-04-12T19:35:54.859Z",17794295
"2021-04-12T19:35:44.859Z",110224
"2021-04-12T19:35:34.860Z",137219
"2021-04-12T19:35:24.859Z",81582
"2021-04-12T19:35:14.859Z",878169
"2021-04-12T19:35:04.859Z",183939
"2021-04-12T19:34:54.869Z",5615659
"2021-04-12T19:34:44.860Z",28848766
"2021-04-12T19:34:34.859Z",458273
"2021-04-12T19:34:24.859Z",53458859
"2021-04-12T19:34:14.859Z",1572167
"2021-04-12T19:34:04.859Z",2332170
"2021-04-12T19:33:54.859Z",2234389
"2021-04-12T19:33:44.860Z",5986743
"2021-04-12T19:33:34.860Z",6773063
"2021-04-12T19:33:24.859Z",5086824
"2021-04-12T19:33:14.859Z",4901746
"2021-04-12T19:33:04.862Z",4139411
"2021-04-12T19:32:54.859Z",6208443
"2021-04-12T19:32:44.860Z",5594861
"2021-04-12T19:32:34.859Z",3227996
"2021-04-12T19:32:24.859Z",3963003
"2021-04-12T19:32:14.859Z",6858299
"2021-04-12T19:32:04.865Z",6439426
"2021-04-12T19:31:54.861Z",22855766
"2021-04-12T19:31:44.859Z",51517385
"2021-04-12T19:31:34.860Z",48718609
"2021-04-12T19:31:24.859Z",696053
"2021-04-12T19:31:14.859Z",1609528
"2021-04-12T19:31:04.860Z",50191366
"2021-04-12T19:30:54.859Z",20501355
"2021-04-12T19:30:44.859Z",8583484
"2021-04-12T19:30:34.860Z",3899949
"2021-04-12T19:30:24.859Z",120252
"2021-04-12T19:30:14.859Z",74481
"2021-04-12T19:30:04.859Z",3115516
"2021-04-12T19:29:54.859Z",2568122
"2021-04-12T19:29:44.860Z",122427
"2021-04-12T19:29:34.859Z",48251212
"2021-04-12T19:29:24.859Z",1341793
"2021-04-12T19:29:14.859Z",2300533
"2021-04-12T19:29:04.859Z",4206272
"2021-04-12T19:28:54.859Z",1820713
"2021-04-12T19:28:44.859Z",171254
"2021-04-12T19:28:34.859Z",113349
"2021-04-12T19:28:24.859Z",81327
"2021-04-12T19:28:14.859Z",149305
"2021-04-12T19:28:04.879Z",1966528
"2021-04-12T19:27:54.859Z",193634
"2021-04-12T19:27:44.859Z",109798
"2021-04-12T19:27:34.859Z",144993
"2021-04-12T19:27:24.859Z",8237613
"2021-04-12T19:27:14.859Z",13319180
"2021-04-12T19:27:04.859Z",10363382
"2021-04-12T19:26:54.859Z",4288803
"2021-04-12T19:26:44.859Z",1981713
"2021-04-12T19:26:34.859Z",7779077
"2021-04-12T19:26:24.859Z",76057
"2021-04-12T19:26:14.859Z",129057
"2021-04-12T19:26:04.860Z",868699
"2021-04-12T19:25:54.859Z",52775961
"2021-04-12T19:25:44.859Z",2853267
"2021-04-12T19:25:34.860Z",179997
"2021-04-12T19:25:24.859Z",77556
"2021-04-12T19:25:14.859Z",74393
"2021-04-12T19:25:04.859Z",856377
"2021-04-12T19:24:54.859Z",2972480
"2021-04-12T19:24:44.859Z",5582650
"2021-04-12T19:24:34.860Z",881474
"2021-04-12T19:24:24.859Z",886642
"2021-04-12T19:24:14.859Z",2130836
"2021-04-12T19:24:04.859Z",121438
"2021-04-12T19:23:54.859Z",128150
"2021-04-12T19:23:44.859Z",134990
"2021-04-12T19:23:34.859Z",117920
"2021-04-12T19:23:24.859Z",7675225
"2021-04-12T19:23:14.863Z",270361
"2021-04-12T19:23:04.859Z",573776
"2021-04-12T19:22:54.860Z",330512
"2021-04-12T19:22:44.859Z",289271
"2021-04-12T19:22:34.859Z",355800
"2021-04-12T19:22:24.859Z",382012
"2021-04-12T19:22:14.859Z",291041
"2021-04-12T19:22:04.859Z",542081
"2021-04-12T19:21:54.859Z",4410998
"2021-04-12T19:21:44.859Z",1634339
"2021-04-12T19:21:34.859Z",7383613
"2021-04-12T19:21:24.861Z",1340506
"2021-04-12T19:21:14.859Z",5909351
"2021-04-12T19:21:04.860Z",4244136
"2021-04-12T19:20:54.859Z",2960578
"2021-04-12T19:20:44.859Z",109922
"2021-04-12T19:20:34.863Z",1855983
"2021-04-12T19:20:24.859Z",678362
"2021-04-12T19:20:14.859Z",1177175
"2021-04-12T19:20:04.860Z",6474945
"2021-04-12T19:19:54.860Z",134506
"2021-04-12T19:19:44.859Z",266057
"2021-04-12T19:19:34.861Z",104286
"2021-04-12T19:19:24.859Z",71469
"2021-04-12T19:19:14.859Z",3830160
"2021-04-12T19:19:04.859Z",3973249
"2021-04-12T19:18:54.859Z",92287
"2021-04-12T19:18:44.859Z",137134
"2021-04-12T19:18:34.859Z",154557
"2021-04-12T19:18:24.859Z",1151605
"2021-04-12T19:18:14.859Z",13103288
"2021-04-12T19:18:04.859Z",1786633
"2021-04-12T19:17:54.859Z",87348
"2021-04-12T19:17:44.859Z",1236475
"2021-04-12T19:17:34.859Z",190282
"2021-04-12T19:17:24.859Z",5936919
"2021-04-12T19:17:14.859Z",276233
"2021-04-12T19:17:04.861Z",4021371
"2021-04-12T19:16:54.859Z",93393
"2021-04-12T19:16:44.859Z",657827
"2021-04-12T19:16:34.859Z",104201
"2021-04-12T19:16:24.859Z",1665740
"2021-04-12T19:16:14.859Z",495723
"2021-04-12T19:16:04.862Z",5857648
"2021-04-12T19:15:54.860Z",2311895
"2021-04-12T19:15:44.860Z",1957564
"2021-04-12T19:15:34.859Z",118521
"2021-04-12T19:15:24.859Z",117258
"2021-04-12T19:15:14.859Z",69721
"2021-04-12T19:15:04.859Z",1751806
"2021-04-12T19:14:54.859Z",11705766
"2021-04-12T19:14:44.859Z",11384694
"2021-04-12T19:14:34.859Z",1835189
"2021-04-12T19:14:24.859Z",11628831
"2021-04-12T19:14:14.860Z",109010
"2021-04-12T19:14:04.860Z",4069472
"2021-04-12T19:13:54.859Z",59088847
"2021-04-12T19:13:44.860Z",5088749
"2021-04-12T19:13:34.859Z",7450439
"2021-04-12T19:13:24.861Z",190474
"2021-04-12T19:13:14.859Z",150057
"2021-04-12T19:13:04.859Z",2502545
"2021-04-12T19:12:54.859Z",84003
"2021-04-12T19:12:44.860Z",587160
"2021-04-12T19:12:34.861Z",749092
"2021-04-12T19:12:24.859Z",14659682
"2021-04-12T19:12:14.859Z",348606
"2021-04-12T19:12:04.860Z",548553
"2021-04-12T19:11:54.859Z",773879
"2021-04-12T19:11:44.859Z",2286385
"2021-04-12T19:11:34.859Z",1429380
